Date,HDFC,AXIS,ICICI,KOTAK,SBI,UBI,PNB,INDUSIND,BANDHAN,RBL,IDBI,CANARA,BOI,INDIAN,UCO
2021-03-10,1549.0457763671875,760.75,623.7735595703125,1962.9752197265625,384.1533203125,37.849998474121094,41.5,1034.7476806640625,348.518798828125,69.5,38.25,161.1999969482422,76.94999694824219,132.8611297607422,13.0
2021-03-12,1545.2620849609375,750.5999755859375,611.060791015625,1934.1895751953125,377.6136779785156,37.650001525878906,41.04999923706055,1017.6321411132812,348.0204772949219,69.69999694824219,42.0,157.0,75.8499984741211,129.6085968017578,13.399999618530273
2021-03-15,1522.0625,744.4000244140625,601.7380981445312,1917.69775390625,380.3880615234375,36.95000076293945,40.79999923706055,1033.5535888671875,338.2535705566406,72.1500015258789,40.349998474121094,158.3000030517578,73.5999984741211,125.02547454833984,14.050000190734863
2021-03-16,1505.6336669921875,737.75,593.2130737304688,1902.25537109375,375.08697509765625,36.45000076293945,39.79999923706055,1029.6229248046875,338.3532409667969,77.0,38.650001525878906,157.5500030517578,71.94999694824219,122.8078384399414,14.050000190734863
2021-03-17,1488.906005859375,727.9000244140625,587.7789306640625,1867.422607421875,364.7821350097656,35.150001525878906,38.400001525878906,1003.9993286132812,334.765380859375,76.79000091552734,35.849998474121094,150.25,68.5999984741211,114.6272201538086,13.699999809265137
2021-03-18,1484.57470703125,718.75,576.9107666015625,1829.4915771484375,363.74176025390625,35.150001525878906,37.70000076293945,997.8794555664062,336.559326171875,67.30000305175781,34.900001525878906,146.60000610351562,65.30000305175781,117.28838348388672,13.050000190734863
2021-03-19,1491.0467529296875,726.25,584.9373168945312,1833.2396240234375,367.75469970703125,35.25,38.45000076293945,1006.9348754882812,344.881103515625,70.5,37.349998474121094,151.0,66.69999694824219,117.83047485351562,13.0
2021-03-22,1462.8189697265625,716.2000122070312,571.7758178710938,1821.745361328125,363.6426696777344,34.45000076293945,37.95000076293945,963.3995361328125,351.40899658203125,70.0,37.400001525878906,150.0,68.4000015258789,118.0768814086914,12.5
2021-03-23,1493.685302734375,730.5499877929688,584.6880493164062,1811.7503662109375,369.29052734375,36.0,38.75,985.1920166015625,363.41827392578125,68.0,39.5,153.85000610351562,75.19999694824219,121.37869262695312,12.449999809265137
2021-03-24,1472.4273681640625,706.4000244140625,565.8432006835938,1781.5653076171875,356.5580749511719,34.900001525878906,37.0,953.9959106445312,356.24261474609375,64.5,37.95000076293945,148.35000610351562,72.0999984741211,117.18982696533203,11.899999618530273
2021-03-25,1457.0438232421875,694.5999755859375,569.88134765625,1762.0250244140625,351.95062255859375,34.650001525878906,35.5,953.1002807617188,348.7679443359375,67.8499984741211,37.95000076293945,143.39999389648438,69.25,114.43009185791016,10.899999618530273
2021-03-26,1484.87353515625,698.2000122070312,576.8609008789062,1770.1710205078125,353.93231201171875,33.900001525878906,36.0,948.0750732421875,344.4326477050781,70.97000122070312,38.150001525878906,146.14999389648438,69.69999694824219,116.5491714477539,10.949999809265137
